17.352792 s       enters function TransferData()
17.352793 s       enters function GetDataReady()
17.352795 s		  exits from function GetDataReady()	
17.352800 s       enters function SetupDMA()
17.352820 s       enters function SetupDescriptor()
17.352831 s       enters function WriteDescriptor()
17.352832 s       exits from function WriteDescriptor()
17.352832 s       Debug: Src: 0x45700b00
17.352833 s       enters function WriteDescriptor()
17.352834 s       Warning: Address not in range
17.352835 s       exits from function WriteDescriptor()
17.352836 s       exits from function SetupDescriptor()
17.352840 s       Debug: Checking DMA destination 
17.352845 s       exits from function SetupDMA()
17.352845 s       exits from function TransferData()

